Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Code refactoring,Work,Fix errors in code,Low,190,123,0.67,2023-03-30 15:00:00,420,Under,Fair
Complete coding challenge,Work,Write technical document,Medium,31,23,0.9,2023-04-02 10:00:00,130,Under,Good
Code refactoring,Work,Learn new skills,High,49,42,0.9,2023-03-29 17:00:00,320,Under,Good
Attending conference,Learning,Fix errors in code,Medium,183,97,0.69,2023-03-29 11:00:00,420,Under,Fair
Attend team meeting,Learning,Review code changes,Low,126,154,0.81,2023-03-28 10:00:00,80,Over,Good
Complete coding challenge,Learning,Plan upcoming sprint,High,33,34,0.65,2023-04-04 11:00:00,110,Over,Fair
Learning new technology,Work,Discuss project progress,Low,96,105,0.96,2023-03-30 15:00:00,170,Over,Good
Sprint planning,Learning,Refactor existing code,High,203,130,0.73,2023-03-28 14:00:00,80,Under,Fair
Writing technical documentation,Learning,Write technical document,High,213,107,0.8,2023-04-02 10:00:00,190,Under,Good
Attending training session,Work,Network with peers,High,205,124,0.61,2023-04-01 12:00:00,320,Under,Fair
Writing technical documentation,Learning,Refactor existing code,High,75,88,0.72,2023-03-28 10:00:00,80,Over,Fair
Attend team meeting,Learning,Network with peers,High,52,34,0.73,2023-04-04 11:00:00,250,Under,Fair
Attending training session,Work,Learn new programming language,High,87,106,0.73,2023-03-31 16:00:00,80,Over,Fair
Code refactoring,Work,Network with peers,High,120,164,0.73,2023-04-01 12:00:00,55,Over,Fair
Complete coding challenge,Learning,Submit a functioning solution,High,46,55,0.82,2023-04-04 11:00:00,55,Over,Good
Sprint planning,Learning,Discuss project progress,Low,61,47,1.0,2023-03-29 17:00:00,170,Under,Good
Attending training session,Learning,Refactor existing code,Medium,66,43,0.88,2023-03-30 14:00:00,55,Under,Good
Debugging,Work,Plan upcoming sprint,High,186,129,0.8,2023-03-29 17:00:00,110,Under,Good
Code review,Work,Review code changes,Medium,153,138,0.61,2023-04-04 11:00:00,320,Under,Fair
Complete coding challenge,Work,Network with peers,Medium,83,88,0.61,2023-03-29 17:00:00,190,Over,Fair
Sprint planning,Work,Refactor existing code,High,163,122,0.75,2023-03-29 17:00:00,320,Under,Good
Code review,Learning,Network with peers,Low,172,178,0.62,2023-03-29 11:00:00,190,Over,Fair
Pair programming,Work,Refactor existing code,Medium,173,199,0.63,2023-03-31 16:00:00,110,Over,Fair
Pair programming,Learning,Learn new skills,Medium,45,64,0.91,2023-03-30 15:00:00,80,Over,Good
Code review,Work,Network with peers,Medium,101,68,0.72,2023-04-02 10:00:00,350,Under,Fair
Attend team meeting,Learning,Discuss project progress,High,202,135,0.91,2023-03-31 16:00:00,190,Under,Good
Writing technical documentation,Learning,Network with peers,Medium,187,266,0.68,2023-03-28 10:00:00,55,Over,Fair
Attending training session,Work,Learn new skills,Low,175,134,0.75,2023-04-04 11:00:00,270,Under,Good
Debugging,Work,Submit a functioning solution,High,65,78,0.65,2023-03-29 17:00:00,220,Over,Fair
Code review,Learning,Review code changes,Low,77,43,0.8,2023-03-29 17:00:00,210,Under,Good
Complete coding challenge,Work,Code collaboratively,Medium,69,88,0.82,2023-04-05 18:00:00,100,Over,Good
Debugging,Work,Learn new skills,Medium,166,94,0.73,2023-04-01 12:00:00,100,Under,Fair
Attend team meeting,Learning,Learn new programming language,Low,219,259,0.9,2023-04-04 11:00:00,250,Over,Good
Pair programming,Work,Learn new skills,Medium,133,184,0.92,2023-04-02 10:00:00,250,Over,Good
Code review,Work,Plan upcoming sprint,High,83,77,0.85,2023-03-30 14:00:00,190,Under,Good
Attending conference,Learning,Fix errors in code,Low,45,67,0.69,2023-03-28 10:00:00,210,Over,Fair
Writing technical documentation,Learning,Code collaboratively,High,169,137,1.0,2023-03-29 11:00:00,320,Under,Good
Code refactoring,Learning,Write technical document,Medium,198,117,0.75,2023-03-29 17:00:00,250,Under,Good
Sprint planning,Work,Learn new programming language,High,166,128,0.69,2023-03-28 10:00:00,250,Under,Fair
Sprint planning,Work,Fix errors in code,Medium,159,123,0.83,2023-03-30 15:00:00,250,Under,Good
Sprint planning,Learning,Write technical document,Medium,91,82,0.82,2023-03-31 16:00:00,270,Under,Good
Pair programming,Learning,Submit a functioning solution,High,122,173,0.89,2023-03-29 11:00:00,170,Over,Good
Code refactoring,Work,Refactor existing code,High,35,37,0.99,2023-04-05 18:00:00,270,Over,Good
Code refactoring,Learning,Learn new skills,Medium,200,137,0.99,2023-04-02 10:00:00,210,Under,Good
Debugging,Learning,Review code changes,Medium,221,233,0.87,2023-03-29 17:00:00,220,Over,Good
Code refactoring,Work,Discuss project progress,Low,172,205,0.66,2023-03-29 17:00:00,190,Over,Fair
Learning new technology,Work,Learn new programming language,Medium,235,258,0.82,2023-04-01 12:00:00,270,Over,Good
Learning new technology,Learning,Review code changes,High,38,29,0.83,2023-03-29 17:00:00,320,Under,Good
Code refactoring,Work,Network with peers,High,189,182,0.68,2023-03-28 14:00:00,110,Under,Fair
Attending conference,Work,Network with peers,High,138,115,0.69,2023-03-28 14:00:00,100,Under,Fair
Code refactoring,Learning,Discuss project progress,Medium,203,190,0.71,2023-03-31 16:00:00,80,Under,Fair
Sprint planning,Work,Write technical document,Medium,63,44,0.98,2023-04-04 11:00:00,80,Under,Good
Attending training session,Work,Review code changes,Medium,163,157,0.79,2023-03-29 17:00:00,210,Under,Good
Attend team meeting,Work,Learn new skills,High,116,130,0.61,2023-03-28 10:00:00,220,Over,Fair
Learning new technology,Learning,Write technical document,High,157,211,0.71,2023-04-05 18:00:00,170,Over,Fair
Attending conference,Work,Learn new skills,Low,102,120,0.75,2023-04-02 10:00:00,220,Over,Good
Pair programming,Work,Discuss project progress,Low,132,142,0.85,2023-03-30 15:00:00,320,Over,Good
Code refactoring,Work,Learn new skills,Low,152,168,0.76,2023-03-28 10:00:00,210,Over,Good
Attending conference,Work,Review code changes,Medium,116,134,0.77,2023-03-31 16:00:00,420,Over,Good
Learning new technology,Work,Fix errors in code,Medium,196,194,0.81,2023-03-28 14:00:00,80,Under,Good
Sprint planning,Learning,Write technical document,High,47,49,0.82,2023-03-28 10:00:00,170,Over,Good
Learning new technology,Learning,Learn new programming language,Medium,180,146,0.85,2023-04-02 10:00:00,270,Under,Good
Attending training session,Work,Write technical document,High,190,268,0.97,2023-04-02 10:00:00,350,Over,Good
Pair programming,Learning,Review code changes,High,45,57,0.96,2023-04-05 18:00:00,170,Over,Good
Code refactoring,Work,Code collaboratively,Low,224,133,0.61,2023-03-31 16:00:00,110,Under,Fair
Attending conference,Learning,Fix errors in code,Low,100,73,0.72,2023-03-31 16:00:00,270,Under,Fair
Writing technical documentation,Work,Learn new skills,Low,178,128,0.66,2023-04-04 11:00:00,190,Under,Fair
Code review,Learning,Write technical document,Medium,150,130,0.71,2023-03-28 14:00:00,170,Under,Fair
Code refactoring,Work,Write technical document,Medium,74,44,0.9,2023-03-30 15:00:00,55,Under,Good
Sprint planning,Learning,Learn new skills,Low,176,134,0.78,2023-03-28 14:00:00,80,Under,Good
Code refactoring,Work,Code collaboratively,Low,138,198,0.69,2023-03-30 14:00:00,350,Over,Fair
Complete coding challenge,Learning,Review code changes,Medium,96,128,0.84,2023-03-29 11:00:00,80,Over,Good
Code refactoring,Learning,Code collaboratively,High,162,113,0.68,2023-03-29 17:00:00,350,Under,Fair
Code refactoring,Learning,Refactor existing code,Medium,163,168,0.65,2023-03-30 14:00:00,100,Over,Fair
Learning new technology,Work,Submit a functioning solution,Medium,71,70,0.87,2023-03-28 10:00:00,220,Under,Good
Complete coding challenge,Work,Write technical document,Low,124,117,0.83,2023-03-30 15:00:00,190,Under,Good
Debugging,Learning,Write technical document,Medium,147,128,0.93,2023-04-02 10:00:00,320,Under,Good
Attend team meeting,Learning,Learn new programming language,Low,115,60,0.67,2023-04-02 10:00:00,130,Under,Fair
Pair programming,Work,Fix errors in code,Medium,39,26,0.8,2023-03-29 17:00:00,320,Under,Good
Attending training session,Learning,Review code changes,High,182,225,0.66,2023-04-04 11:00:00,350,Over,Fair
Attend team meeting,Learning,Write technical document,High,230,281,0.78,2023-04-02 10:00:00,420,Over,Good
Attending training session,Work,Discuss project progress,Low,226,302,0.84,2023-04-01 12:00:00,170,Over,Good
Attending conference,Work,Review code changes,Low,173,93,0.67,2023-03-30 14:00:00,55,Under,Fair
